amatoho	أماتوهو
angagcina	أنْغاكْشينا
bangempela	بانْغامبالا
dekle	داكشْلا
enecala	أناتْشالا
engqondo	أنْغتْشوندو
esibheka	أسيباكا
eyehlukene	أياشْلوكانا
ezikhula	أزيكولا
ezinsha	أزينتسا
imantshi	إِمانتشي
imingcele	إِمينْغتْشالا
isiqalo	إِسيتْشالو
isithole	إِسيتولا
izinkomba	إِزينكومبا
kanye	كانا
kuqhubekela	كوتْشوباكالا
kusonto	كوسونتو
kwezinsiza	كوازينتسيزا
lomgwaqo	لومغواتْشو
nabangama	نابانْغاما
nanxa	نانتْشا
ngencazelo	نْغانتْشازالو
njengokusebenza	ندجانْغوكوساباندزا
nohlelo	نوشْلالو
sengifuna	سانْغيفونا
uchaze	أتْشازا
udweshu	أدواشو
uju	أدجو
ukukhuphula	أكوكوبولا
wehhovisi	أاهوفيسي
wokudla	أوكوجْلا
yingxenye	ينْغتْشانا
yokuxhumana	يوكوتْشومانا
