acolo	akolo
aduc	aduk
afară	afarə
aisberg	ajsberɡ
ajutor	aʒutor
albă	albə
ales	ales
alună	alunə
amar	amar
apă	apə
aripioară	aripjo̯arə
ascund	askund
august	awɡust
aşa	aʃa
aţă	at͡sə
balaur	balaur
ban	ban
beată	be̯atə
beau	be̯aw
biată	bjatə
bou	bow
brâu	brɨw
băcăuan	bəkəwan
cad	kad
cal	kal
cap	kap
case	kase
ceainic	t͡ʃe̯ajnik
cer	t͡ʃer
chior	kjor
chiuvetă	kjuvetə
coborî	koborɨ
continuu	kontinuw
copil	kopil
covor	kovor
creioane	krejo̯ane
câine	kɨjne
cânta	kɨnta
cârnat	kɨrnat
da	da
dacă	dakə
dat	dat
două	dowə
drag	draɡ
duh	duh
dulău	duləw
erou	erow
eu	jew
fel	fel
fier	fjer
fiu	fiw
foarte	fo̯arte
foc	fok
ger	d͡ʒer
Gheorghe	ɡe̯orɡe
gol	ɡol
greu	ɡrew
gălbui	ɡəlbuj
găoace	ɡəo̯at͡ʃe
horn	horn
i-oi	joj
ia-i	jaj
iau	jaw
iei	jej
inel	inel
insulă	insulə
iod	jod
iubit	jubit
jar	ʒar
lei	lej
leoaică	leo̯ajkə
leoarcă	le̯o̯arkə
lung	luŋ
maci	mat͡ʃi
magic	mad͡ʒik
maieu	majew
maiou	majow
mazăre	mazəre
mea	me̯a
mereu	merew
mi-a	mja
mi-ai	mjaj
mic	mik
miere	mjere
mii	mij
motan	motan
mov	mov
mâinile	mɨjnile
măr	mər
ne-o	ne̯o
necaz	nekaz
noi	noj
nor	nor
oi	oj
oraş	oraʃ
oraş	oraʃ
orez	orez
ou	ow
ouând	owɨnd
pahar	pahar
pantof	pantof
pas	pas
pe-un	pe̯un
picioică	pit͡ʃjojkə
piei	pjej
piuez	piwez
pleoape	ple̯o̯ape
ploua	plowa
plouând	plowɨnd
plouă	plowə
pom	pom
pui	puj
pungă	puŋə
păros	pəros
rai	raj
repede	repede
rob	rob
rogi	rod͡ʒi
rouăi	rowəj
rusoaică	ruso̯ajkə
râu	rɨw
răi	rəj
rău	rəw
sac	sak
salcie	salt͡ʃje
sare	sare
sat	sat
sau	saw
scriu	skriw
simplu	simplu
socoteai	sokote̯aj
soţ	sot͡s
spate	spate
spuneau	spune̯aw
stai	staj
suiau	sujaw
tare	tare
topi	topi
trei	trej
tren	tren
uda	uda
umple	umple
vacile	vat͡ʃile
val	val
vii	vij
vinde	vinde
vrej	vreʒ
văi	vəj
zbor	zbor
zid	zid
zis	zis
ziua	ziwa
înspre	ɨnspre
înşeuai	ɨnʃewaj
înşeuau	ɨnʃewaw
înşeuez	ɨnʃewez
ăsta	əsta
şarpe	ʃarpe
ţară	t͡sarə
Alba Iulia	alba julja
Alexandria	aleksandrja
Arad	arad
Bacău	bakəw
Baia Mare	baja mare
Bistrița	bistrit͡sa
Borșa	borʃa
Botoșani	botoʃani
Brașov	braʃov
Brăila	brəjla
București	bukureʃti
Buzău	buzəw
Bârlad	bɨrlad
Caracal	karakal
Cluj-Napoca	kluʒ napoka
Constanța	konstant͡sa
Craiova	krajova
Curtea de Argeș	kurte̯a de ard͡ʒeʃ
Câmpina	kɨmpina
Câmpulung	kɨmpuluŋ
Călărași	kələraʃi
Dej	deʒ
Deva	deva
Drobeta-Turnu Severin	drobeta turnu severin
Fetești	feteʃti
Focșani	fokʃani
Făgăraș	fəɡəraʃ
Fălticeni	fəltit͡ʃeni
Galați	ɡalat͡si
Giurgiu	d͡ʒjurd͡ʒiw
Hunedoara	hunedo̯ara
Huși	huʃi
Iași	jaʃi
Lugoj	luɡoʒ
Mangalia	maŋalja
Medgidia	med͡ʒidja
Mediaș	medjaʃ
Miercurea Ciuc	mjerkure̯a t͡ʃjuk
Mioveni	mjoveni
Năvodari	nəvodari
Odorheiu Secuiesc	odorheju sekujesk
Onești	oneʃti
Oradea	orade̯a
Pantelimon	pantelimon
Pașcani	paʃkani
Petroșani	petroʃani
Piatra Neamț	pjatra ne̯amt͡s
Pitești	piteʃti
Ploiești	plojeʃti
Reghin	reɡin
Reșița	reʃit͡sa
Roman	roman
Roșiorii de Vede	roʃjorij de vede
Râmnicu Sărat	rɨmniku sərat
Râmnicu Vâlcea	rɨmniku vɨlt͡ʃe̯a
Satu Mare	satu mare
Sebeș	sebeʃ
Sfântu Gheorghe	sfɨntu ɡe̯orɡe
Sibiu	sibiw
Sighetu Marmației	siɡetu marmat͡sjej
Sighișoara	siɡiʃo̯ara
Slatina	slatina
Slobozia	slobozja
Suceava	sut͡ʃe̯ava
Săcele	sət͡ʃele
Tecuci	tekut͡ʃi
Timișoara	timiʃo̯ara
Tulcea	tult͡ʃe̯a
Turda	turda
Târgoviște	tɨrɡoviʃte
Târgu Jiu	tɨrɡu ʒiw
Târgu Mureș	tɨrɡu mureʃ
Vaslui	vasluj
Voluntari	voluntari
Zalău	zaləw
