Andiast	andɪa̯ʃt
Castrisch	kaʃtriʃ
Cumbel	kumbel
Degen	deɟn
Duvin	duvin
Falera	falera
Glaruna	ɡlaruna
Glion	ʎiɔn
Ladir	ladir
Lucmagn	lukmaɲ
Lumbrein	lumbrɛɪ̯n
Pigniu	piɲɪʊ̯
Pitasch	pitaʃ
Riein	rɪɛ̯in
Rueun	rʊɛ̯un
Sagogn	saɡɔɲ
Schlans	ʃlans
Schluein	ʃlʊɛ̯ɪ̯n
Schnaus	ʃnaʊ̯s
Sevgein	sevɟin
Siat	sɪa̯t
Sumvitg	sumvic
Suraua	suraʊ̯a
Surcuolm	surkʊɔ̯lm
Svizra	ʒvit͡sra
Tenna	tenːa
Trun	trun
Tujetsch	tujet͡ʃ
Turitg	turic
Val Lumnezia	val lumnet͡sɪa̯
Valendas	valendas
Vals	vals
Vella	velːa
Versam	versam
Vignogn	viɲɔɲ
Vrin	vrin
Vuorz	vʊɔ̯rt͡s
baselgia	baselɟa
bogn	bɔɲ
buob	bʊɔ̯b
canzun	kant͡sun
caschiel	kaʒɪɛ̯l
clav	klav
comba	kɔmba
cudisch	kudiʃ
cumiau	kumɪa̯ʊ̯
december	det͡sember
dir	dir
egl	eʎ
fil	fil
finiastra	finɪa̯ʃtra
glieud	ʎɪɛ̯ud
grischun	ɡriʒun
guisaida	ɡuisaɪ̯da
habitaziun	abitat͡sɪʊ̯n
jamna	jamna
legums	leɡums
lev	lev
luvrar	luvrar
mir	mir
neiv	nɛɪ̯v
paun	paʊ̯n
pischada	piʒada
pur	pur
pèr	pɛr
pér	per
qual	kʊa̯l
quei	kʊɛ̯ɪ̯
quel	kʊɛ̯l
raps	raps
sbagl	ʒbaʎ
schenghegiar	ʒenɡeɟar
siat	sɪa̯t
signun	siɲun
sulegl	suleʎ
tegia	teɟa
tgaun	caʊ̯n
ti	ti
treis	trɛɪ̯s
tschiel	t͡ʃɪɛ̯l
tut	tut
uaul	ʊa̯ʊ̯l
vendiu	vendɪʊ̯
zucher	t͡suker
