'ab	أب
'amerI'qa' SepjIjQa'	أماريقأ شابدجيدجقخأ
'anyan 'oQqar	أنيان أقخقار
baghneQ	باغناقخ
bIQSIp 'ugh	بيقخشيب أغ
boq	بوق
borghel	بورغال
buqjaj	بوقدجادج
chIw	تشيو
choQ	تشوقخ
chuD	تشوض
chuv	تشوف
chuy	تشوي
DaH	ضاخ
DenIb Qatlh	ضانيب قخاتشْل
De'wI'Hom	ضاويخوم
DoyIchlan	ضوييتشلان
'eQway' 'echlet	أقخوائ أتشلات
ghach	غاتش
ghInjaj	غيندجادج
Huch chaw'	خوتش تشاؤ
Hun	خون
'Internet	إِنتارنات
'Iq	إِق
janluq pIqarD	دجانلوق بيقارض
jer	دجار
jIm	دجيم
julSIp	دجولشيب
jungwoq	دجونْغووق
logh	لوغ
loHjan	لوخدجان
lupwI' mIr	لوبوئ مير
maDyar	ماضيار
mIl'oD ngeb	ميلوض نْغاب
muchpa'	موتشبأ
nav HablI'	ناف خابلئ
netlh	ناتشْل
nIpon	نيبون
ngugh	نْغوغ
nguSDI'	نْغوشضئ
'och	أتش
'o'rIS	أريش
pegh	باغ
pItSa' chab	بيتشأ تشاب
qanraD	قانراض
qay	قاي
qa'vam	قافام
qe'rot	قاروت
Qal	قخال
QI	قخي
Qulpa'	قخولبأ
raQ	راقخ
raSber naH	راشبار ناخ
ren	ران
rutlh	روتشْل
Saqjan	شاقدجان
SIrlIy	شيرلي
So'Ha'	شوخأ
SuwomIy	شوومي
taQ	تاقخ
tera' na'ran	تارأ ناران
tuS	توش
tlhat	تشْلات
tlhot	تشْلوت
tlhup	تشْلوب
'uD'a'	أضأ
'uSqan	أشقان
valQIS	فالقخيش
ven	فان
vIlInHoD	فيلينخوض
vIraS	فيراش
vuy	فوي
wab	أاب
weQmoQnaQ	أاقخموقخناقخ
wogh	أوغ
wuD	أوض
yang	يانْغ
yem	يام
yIr	ير
yor	يور
yu'muD	يوموض
