Achijáš Šíloský	አኽያ፞ሽ ሺ፞ሎስኪ፞
achnatonova	አግናቶኖቫ
Ahsoka Tano	አህሶካ ታኖ
ano	አኖ
Aš	አሽ
Bašf	ባሽፍ
Benešov	በነሾቭ
Beroun	በሮኡን
Berounka	በሮኡንግካ
Blansko	ብላንስኮ
Bohemia	ቦሀምአ
Braník	ብራኒ፞ክ
Brno	ብርኖ
Bruntál	ብሩንታ፞ል
Bubeneč	ቡበነች
Bílá Hora	ቢ፞ላ፞ ሆራ
Bělorusko	ብየሎሩስኮ
Břeclav	ብርዠጽላቭ
březen	ብርዠዘን
Březová	ብርዠዞቫ፞
Chadtův	ኻድቱ፞ቭ
Cheb	ኸብ
Chodov	ኾዶቭ
Cholupice	ኾሉፕጸ
Chomutov	ኾሙቶቭ
Choteč	ኾተች
Chrudim	ግሩድም
Chvatěrub	ግቫቸሩብ
Chýšť	ኺ፞ሽች
co	ጾ
Cínovec	ጺ፞ኖቨጽ
Dejvice	ደይቭጸ
Dolany	ዶላን
Dolní Chabry	ዶልኒ፞ ኻብር
Dolní Počernice	ዶልኒ፞ ፖቸርንጸ
Domažlice	ዶማዢልጸ
Dubeč	ዱበች
Dvůr Králové	ድቩ፞ር ክራ፞ሎቨ፞
Dzaudžikau	ጃውጅካው
Dějiny	ጀይን
Děkuji	ጀኩይ
Děčín	ጀቺ፞ን
dům	ዱ፞ም
Džerba	ጀርባ
Frýdek Místek	ፍሪ፞ደክ ሚ፞ስተክ
Frýdlant	ፍሪ፞ድላንት
Hlubočepy	ህሉቦቸፕ
Hodkovice	ሆድኮቭጸ
Hodkovičky	ሆድኮቭችክ
Hodonín	ሆዶኒ፞ን
Holašovice	ሆላሾቭጸ
Holešov	ሆለሾቭ
Holešovice	ሆለሾቭጸ
Holubice	ሆሉብጸ
Holyně	ሆልኘ
Hovorčovice	ሆቮርቾቭጸ
Hradec Králové	ህራደጽ ክራ፞ሎቨ፞
Hranice	ህራንጸ
Humpolec	ሁምፖለጽ
Husinec	ሁስነጽ
Háje	ሃ፞የ
háček	ሃ፞ቸክ
Ivančice	እቫንችጸ
Jablonec	ያብሎነጽ
jak	ያክ
Jankov	ያንግኮቭ
jemně	የምኘ
Jesenice	የሰንጸ
Jeseník	የሰኒ፞ክ
Jihlava	ይህላቫ
Jinonice	ይኖንጸ
Jáchymov	ያ፞ኽሞቭ
Jíloviště	ዪ፞ሎቭሽቸ
Karlovy Vary	ካርሎቭ ቫር
Karlín	ካርሊ፞ን
Karlštejn	ካርልሽተይን
Karviná	ካርቭና፞
Kazachstán	ካዛኽስታ፞ን
kdo	ክዶ
Kladno	ክላድኖ
Klatovy	ክላቶቭ
Klínovec	ክሊ፞ኖቨጽ
Klíčany	ክሊ፞ቻን
Kobylisy	ኮብልስ
Kojetice	ኮየትጸ
Kolín	ኮሊ፞ን
Kopanina	ኮፓንና
Kostelec	ኮስተለጽ
Kralupy	ክራሉፕ
Krnov	ክርኖቭ
Kroměříž	ክሮምኘርዢ፞ዢ
Kunratice	ኩንራትጸ
Kutná Hora	ኩትና፞ ሆራ
květen	ክቭየተን
Labe	ላበ
Lahovice	ላሆቭጸ
leden	ለደን
Lednice	ለድንጸ
Letňany	ለትኛን
Liberec	ልበረጽ
Libuš	ልቡሽ
Lichoceves	ልኾጸቨስ
Lidice	ልድጸ
Lipence	ልፐንጸ
Litomyšl	ልቶምሽል
Litoměřice	ልቶምኘርዥጸ
Lliboc	ልልቦጽ
Lovosice	ሎቮስጸ
Lysolaje	ልሶላየ
léto	ለ፞ቶ
Líbeznice	ሊ፞በዝንጸ
Malešov	ማለሾቭ
Mariánské Lázně	ማርአ፞ንስከ፞ ላ፞ዝኘ
Meziříčí	መዝርዢ፞ቺ፞
Mikulov	ምኩሎቭ
Minice	ምንጸ
Mladá Boleslav	ምላዳ፞ ቦለስላቭ
Mnichovo Hradiště	ምንኾቮ ህራድሽቸ
Modletice	ሞድለትጸ
Moravia	ሞራቭአ
Most	ሞስት
Motol	ሞቶል
Mratín Polerady	ምራቲ፞ን ፖለራድ
Máslovice	ማ፞ስሎቭጸ
méně	መ፞ኘ
město	ምኘስቶ
může	ሙ፞ዠ
ne	ነ
Nebušice	ነቡሽጸ
Nový Jícin	ኖቪ፞ ዪ፞ጽን
Nusle	ኑስለ
Nymburk	ንምቡርክ
Náchod	ና፞ኾድ
německá	ኘመጽካ፞
Odolena Voda	ኦዶለና ቮዳ
Ohníč	ኦህኒ፞ች
Ohrazenice	ኦህራዘንጸ
Ohrobec	ኦህሮበጽ
Olomouc	ኦሎሞኡጽ
Opava	ኦፓቫ
Osnice	ኦስንጸ
Ostrava	ኦስትራቫ
Otvovice	ኦትቮቭጸ
Pardubice	ፓርዱብጸ
Pitkovice	ፕትኮቭጸ
Plzeň	ፕልዘኝ
Podolí	ፖዶሊ፞
Praha	ፕራሃ
Prostějov	ፕሮስቸዮቭ
prosím	ፕሮሲ፞ም
prstenový	ፕርስተኖቪ፞
Průhonice	ፕሩ፞ሆንጸ
Psáry	ፕሳ፞ር
Písek	ፒ፞ሰክ
Písnice	ፒ፞ስንጸ
Radlice	ራድልጸ
Radotín	ራዶቲ፞ን
Radějovice	ራጀዮቭጸ
Rakovník	ራኮቭኒ፞ክ
Rokycany	ሮክጻን
Roztoky	ሮዝቶክ
Ruzyně	ሩዝኘ
Satalice	ሳታልጸ
Sedlec	ሰድለጽ
Slivenec	ስልቨነጽ
Sluhy	ስሉህ
smrk	ስምርክ
Smíchov	ስሚ፞ኾቭ
Sněžka	ስኘዢካ
srpen	ስርፐን
Statenice	ስታተንጸ
Stodůlky	ስቶዱ፞ልክ
Strakonice	ስትራኮንጸ
Strašnice	ስትራሽንጸ
středa	ስትርዠዳ
Suchdol	ሱግዶል
Sušice	ሱሽጸ
Svitavy	ስቭታቭ
Svrkyně	ስቭርክኘ
Sázava	ሳ፞ዛቫ
Tachov	ታኾቭ
Teplice	ተፕልጸ
Trutnov	ትሩትኖቭ
Turecko	ቱረጽኮ
Tursko	ቱርስኮ
Tábor	ታ፞ቦር
Těchlovice	ቸግሎቭጸ
Uherské Hradiště	ኡሀርስከ፞ ህራድሽቸ
Valašské	ቫላሽስከ፞
Veleslavín	ቨለስላቪ፞ን
Veleň	ቨለኝ
Veliká Ves	ቨልካ፞ ቨስ
Velká Chuchle	ቨልካ፞ ኹግለ
Vestec	ቨስተጽ
Vimperk	ቭምፐርክ
Vlasim	ቭላስም
Vltava	ቭልታቫ
Vodochody	ቮዶኾድ
Vokovice	ቮኮቭጸ
Vonoklasy	ቮኖክላስ
Vršovice	ቭርሾቭጸ
Vysočany	ቭሶቻን
Větrušice	ቭየትሩሽጸ
Všenory	ቭሸኖር
Wikipedie	ቭክፐድኧ
Zbraslav	ዝብራስላቭ
Zbuzany	ዝቡዛን
Zdiby	ዝድብ
Zlatníky	ዝላትኒ፞ክ
Zlín	ዝሊ፞ን
Zlíčín	ዝሊ፞ቺ፞ን
Znojmo	ዝኖይሞ
Zvole	ዝቮለ
Záběhlice	ዛ፞ብየህልጸ
záchrana	ዛ፞ግራና
Ázerbájdžán	አ፞ዘርባ፞ይጃ፞ን
Úholičky	ኡ፞ሆልችክ
Únětice	ኡ፞ኘትጸ
úterý	ኡ፞ተሪ፞
Čakovice	ቻኮቭጸ
Černošice	ቸርኖሽጸ
České Budějovice	ቸስከ፞ ቡጀዮቭጸ
Český Krumlov	ቸስኪ፞ ክሩምሎቭ
Čestlice	ቸስትልጸ
Čimice	ችምጸ
červen	ቸርቨን
červenec	ቸርቨነጽ
články	ችላ፞ንግክ
čárka	ቻ፞ርካ
Ďoma	ጆማ
Ďáblice	ጃ፞ብልጸ
Řecko	ርዠጽኮ
říjen	ርዢ፞የን
Šeberov	ሸበሮቭ
Šternberk	ሽተርንበርክ
Štěrboholy	ሽቸርቦሆል
Šumperk	ሹምፐርክ
Ťažká	ቻዢካ፞
Žatec	ዣተጽ
Ženšen	ዠንሸን
